标题,品牌,详情链接,城市,购买年份,里程,过户次数,原价,售价,文本,文本1,文本2,文本3,文本4,文本5,文本6,文本7,文本8,文本9,文本10,文本11,文本12,文本13,文本14,文本15,文本16,文本17
蔚来ES7 2022款 100kWh 首发版,蔚来,https://www.dongchedi.com/usedcar/18342051,南京,2022年 , 4.20万公里,0,51.80万,19.83万,蔚来ES7 2022款 100kWh 首发版,南京,2022年11月,自动,51.8万,蔚来,中大型SUV,纯电动,纯电动 653马力,575,575,850,电动车单速变速箱,5门5座SUV,2.16,前永磁/同步后交流/异步,三元锂电池,首任车主10年不限里程质保（责任免除条款以官方为准）
海豚 2021款 时尚版,比亚迪,https://www.dongchedi.com/usedcar/17652371,长沙,2023年 , 1.80万公里,0,11.78万,5.98万,,,,,51.8万,蔚来,中大型SUV,纯电动,纯电动 653马力,575,575,850,电动车单速变速箱,5门5座SUV,2.16,前永磁/同步后交流/异步,三元锂电池,首任车主10年不限里程质保（责任免除条款以官方为准）
AION V 2021款 AION V Plus 80 领航智驾版 三元锂,埃安,https://www.dongchedi.com/usedcar/17534062,合肥,2021年 , 5.86万公里,0,23.46万,8.98万,AION V 2021款 AION V Plus 80 领航智驾版 三元锂,合肥,2021年12月,自动,23.46万,广汽埃安新能源,紧凑型SUV,纯电动,纯电动 224马力,600,快充0.5小时,电动车单速变速箱,4650x1920x1720,185,4年或15万公里,永磁/同步,三元锂电池,中航锂电
汉DM 2020款 DM 四驱性能版尊贵型,比亚迪,https://www.dongchedi.com/usedcar/17920386,深圳,2021年 , 4万公里,0,24.28万,9.36万,汉DM 2020款 DM 四驱性能版尊贵型,深圳,2021年7月,自动,24.28万,比亚迪,中大型车,插电式混合动力,2.0T 192马力 L4 插电式混动,81,,6挡湿式双离合,4960x1910x1495,185,6年或15万公里,1999,插电式混动 245马力,180
红旗E-QM5 2022款 充电 431km乐享版 5座,红旗,https://www.dongchedi.com/usedcar/18375677,贵阳,2022年 , 2.28万公里,0,16.58万,7.88万,红旗E-QM5 2022款 充电 431km乐享版 5座,贵阳,2022年12月,自动,16.58万,一汽红旗,中型车,纯电动,纯电动 190马力,431,431,140(190Ps),320,5040x1910x1569,13.5,永磁/同步,磷酸铁锂电池,8年或15万公里
领克03 PHEV 2021款 1.5T PHEV Pro,领克,https://www.dongchedi.com/usedcar/18312637,合肥,2021年 , 4.68万公里,0,19.67万,7.78万,领克03 PHEV 2021款 1.5T PHEV Pro,合肥,2021年1月,自动,19.67万,领克,紧凑型车,插电式混合动力,1.5T 180马力 L3 插电式混动,51,,265,160,4657x1840x1460,1.6,1477,插电式混动 82马力,60
小鹏P7 2020款 670N,小鹏汽车,https://www.dongchedi.com/usedcar/17761218,武汉,2021年 , 5.30万公里,1,28.29万,9.98万,小鹏P7 2020款 670N,武汉,2021年6月,自动,28.29万,小鹏汽车,中型车,纯电动,纯电动 267马力,670,670,390,电动车单速变速箱,4门5座三厢车,1.5,永磁/同步,三元锂电池,8年或15万公里
护卫舰07 2023款 DM-i 100KM 旗舰型,比亚迪,https://www.dongchedi.com/usedcar/18431355,北京,2023年 , 1.13万公里,1,22.88万,11.98万,护卫舰07 2023款 DM-i 100KM 旗舰型,北京,2023年3月,自动,22.88万,比亚迪,中型SUV,插电式混合动力,1.5T 139马力 L4 插电式混动,82,100,30-80,102(139Ps),231,5门5座SUV,1497,插电式混动 197马力,145
欧拉闪电猫 2022款 555km 尊贵版,欧拉,https://www.dongchedi.com/usedcar/18391746,广州,2022年 , 2.45万公里,0,20.38万,9.88万,欧拉闪电猫 2022款 555km 尊贵版,广州,2022年12月,自动,20.38万,长城汽车,中型车,纯电动,纯电动 204马力,555,555,340,电动车单速变速箱,4门5座三厢车,1.49,永磁/同步,磷酸铁锂电池,不限年限/里程(责任免除条款以官方为准)
宝马i3 2022款 eDrive 35 L,宝马,https://www.dongchedi.com/usedcar/17384681,石家庄,2023年 , 3.88万公里,0,35.39万,15.68万,宝马i3 2022款 eDrive 35 L,石家庄,2023年2月,自动,35.39万,华晨宝马,中型车,纯电动,纯电动 286马力,526,526,400,电动车单速变速箱,4门5座三厢车,1.62,励磁/同步,三元锂电池,8年或16万公里
小鹏G3 2022款 G3i 520N,小鹏汽车,https://www.dongchedi.com/usedcar/16779817,成都,2022年 , 2.86万公里,2,20.19万,8.98万,小鹏G3 2022款 G3i 520N,成都,2022年11月,自动,20.19万,小鹏汽车,紧凑型SUV,纯电动,纯电动 197马力,520,快充0.58小时 慢充5.5小时,电动车单速变速箱,4495x1820x1610,170,4年或10万公里,永磁/同步,三元锂电池,8年或15万公里
唐DM 2018款 DM 2.0T 全时四驱智联创睿型 7座 国V,比亚迪,https://www.dongchedi.com/usedcar/16501653,苏州,2019年 , 4.26万公里,0,24.99万,7.98万,唐DM 2018款 DM 2.0T 全时四驱智联创睿型 7座 国V,苏州,2019年3月,自动,24.99万,比亚迪,中型SUV,插电式混合动力,2.0T 205马力 L4 插电式混动,81,慢充5.8小时,6挡双离合,4870x1950x1725,,6年或15万公里,1999,插电式混动 394马力,290
红旗E-QM5 2022款 充电 431km乐享版 5座,红旗,https://www.dongchedi.com/usedcar/18375664,贵阳,2022年 , 0.95万公里,0,16.58万,8.08万,红旗E-QM5 2022款 充电 431km乐享版 5座,贵阳,2022年12月,自动,16.58万,一汽红旗,中型车,纯电动,纯电动 190马力,431,431,140(190Ps),320,5040x1910x1569,13.5,永磁/同步,磷酸铁锂电池,8年或15万公里
蔚来ET5 2022款 75kWh,蔚来,https://www.dongchedi.com/usedcar/18358914,南京,2022年 , 2.90万公里,0,29.80万,14.53万,蔚来ET5 2022款 75kWh,南京,2022年11月,自动,29.8万,蔚来,中型车,纯电动,纯电动 490马力,560,560,700,电动车单速变速箱,4门5座三厢车,1.91,前感应/异步后永磁/同步,磷酸铁锂电池+三元锂电池,首任车主10年不限里程质保（责任免除条款以官方为准）
红旗E-QM5 2022款 充电 431km乐享版 5座,红旗,https://www.dongchedi.com/usedcar/17840310,佛山,2022年 , 1.97万公里,0,16.58万,8.11万,红旗E-QM5 2022款 充电 431km乐享版 5座,佛山,2022年12月,自动,16.58万,一汽红旗,中型车,纯电动,纯电动 190马力,431,431,140(190Ps),320,5040x1910x1569,13.5,永磁/同步,磷酸铁锂电池,8年或15万公里
汉EV 2020款 四驱高性能版旗舰型,比亚迪,https://www.dongchedi.com/usedcar/17797818,深圳,2021年 , 10.78万公里,0,28.45万,9.16万,汉EV 2020款 四驱高性能版旗舰型,深圳,2021年3月,自动,28.45万,比亚迪,中大型车,纯电动,纯电动 494马力,550,快充0.42小时,电动车单速变速箱,4980x1910x1495,185,2394.0元,永磁/同步,磷酸铁锂电池,比亚迪
Model 3 2020款 长续航后轮驱动版,特斯拉,https://www.dongchedi.com/usedcar/18377813,深圳,2020年 , 4.55万公里,0,36.66万,13.46万,Model 3 2020款 长续航后轮驱动版,深圳,2020年9月,自动,36.655万,特斯拉中国,中型车,纯电动,纯电动 275马力,668,快充1小时 慢充10小时,电动车单速变速箱,4694x1850x1443,225,2287.0元,永磁/同步,三元锂电池,76.8
汉EV 2021款 标准续航版豪华型,比亚迪,https://www.dongchedi.com/usedcar/16251339,深圳,2022年 , 3万公里,1,21.98万,10.80万,汉EV 2021款 标准续航版豪华型,深圳,2022年9月,自动,21.98万,比亚迪,中大型车,纯电动,纯电动 222马力,506,快充0.42小时 慢充9.26小时,电动车单速变速箱,4980x1910x1495,185,6年或15万公里,永磁/同步,磷酸铁锂电池,比亚迪
Model 3 2020款 标准续航后驱升级版,特斯拉,https://www.dongchedi.com/usedcar/18332730,郑州,2020年 , 7.16万公里,2,29.18万,11.98万,Model 3 2020款 标准续航后驱升级版,郑州,2020年8月,自动,29.18万,特斯拉中国,中型车,纯电动,纯电动 275马力,445,快充1小时 慢充10小时,电动车单速变速箱,4694x1850x1443,225,2287.0元,永磁/同步,三元锂电池,52
AION V 2020款 80 智享科技版,埃安,https://www.dongchedi.com/usedcar/17383544,北京,2021年 , 3.76万公里,0,20.88万,8.58万,AION V 2020款 80 智享科技版,北京,2021年7月,自动,20.88万,广汽埃安新能源,紧凑型SUV,纯电动,纯电动 184马力,600,,电动车单速变速箱,4586x1920x1728,,494.0元,永磁/同步,三元锂电池,80
荣威eRX5 2021款 ePLUS 国潮荣麟豪华版,荣威,https://www.dongchedi.com/usedcar/18026544,郑州,2022年 , 3.41万公里,0,15.28万,6.98万,荣威eRX5 2021款 ePLUS 国潮荣麟豪华版,郑州,2022年7月,自动,15.28万,上汽集团,紧凑型SUV,插电式混合动力,1.5T 169马力 L4 插电式混动,52,807,480,AMT (组合10挡),5门5座SUV,15.4,1490,插电式混动 136马力,100
岚图追光 EV 2023款 580km 标准续航版,岚图,https://www.dongchedi.com/usedcar/17477955,南宁,2023年 , 0.51万公里,0,32.29万,14.88万,岚图追光 EV 2023款 580km 标准续航版,南宁,2023年8月,自动,32.29万,岚图汽车,中大型车,纯电动,纯电动 510马力,580,580,730,电动车单速变速箱,4门5座三厢车,1.76,永磁/同步,三元锂电池,孚能科技
宝马iX1 2023款 xDrive30L M运动套装,宝马,https://www.dongchedi.com/usedcar/18220088,滨州,2023年 , 0.50万公里,0,33.99万,15.88万,宝马iX1 2023款 xDrive30L M运动套装,滨州,2023年10月,自动,33.99万,华晨宝马,紧凑型SUV,纯电动,纯电动 313马力,450,450,494,电动车单速变速箱,5门5座SUV,1.84,励磁/同步,三元锂电池,8年或16万公里
宝马i3 2022款 eDrive 35 L,宝马,https://www.dongchedi.com/usedcar/18441842,宁波,2023年 , 4.87万公里,0,35.39万,15.15万,宝马i3 2022款 eDrive 35 L,宁波,2023年1月,自动,35.39万,华晨宝马,中型车,纯电动,纯电动 286马力,526,526,400,电动车单速变速箱,4门5座三厢车,1.62,励磁/同步,三元锂电池,8年或16万公里
Model 3 2020款 改款 长续航后轮驱动版,特斯拉,https://www.dongchedi.com/usedcar/18405811,深圳,2020年 , 10万公里,0,30.99万,10.76万,Model 3 2020款 改款 长续航后轮驱动版,深圳,2020年6月,自动,30.99万,特斯拉中国,中型车,纯电动,纯电动 275马力,668,快充1小时 慢充10小时,电动车单速变速箱,4694x1850x1443,225,2287.0元,永磁/同步,三元锂电池,76.8
问界M5 2022款 增程后驱标准版,AITO,https://www.dongchedi.com/usedcar/18315886,海口,2022年 , 2.79万公里,0,25.98万,13.36万,问界M5 2022款 增程后驱标准版,海口,2022年11月,自动,25.98万,赛力斯汽车,中型SUV,增程式,增程式 272马力,200,快充0.75小时 慢充5小时,电动车单速变速箱,4770x1930x1625,200,2.24,1499,增程式 272马力,200
昊铂GT 2023款 560 后驱七翼版 三元锂,昊铂,https://www.dongchedi.com/usedcar/17646206,成都,2023年 , 2.86万公里,0,24.59万,9.58万,昊铂GT 2023款 560 后驱七翼版 三元锂,成都,2023年7月,自动,24.59万,广汽埃安新能源,中大型车,纯电动,纯电动 245马力,560,560,355,电动车单速变速箱,4门5座三厢车,1.35,永磁/同步,三元锂电池,亿纬动力
Model 3 2021款 标准续航后驱升级版,特斯拉,https://www.dongchedi.com/usedcar/18445379,南京,2021年 , 7.30万公里,1,26.67万,11.58万,Model 3 2021款 标准续航后驱升级版,南京,2021年3月,自动,26.674万,特斯拉中国,中型车,纯电动,纯电动 275马力,468,快充1小时 慢充10小时,电动车单速变速箱,4694x1850x1443,225,3001.0元,永磁/同步,磷酸铁锂电池,55
途观L PHEV 2020款 430PHEV 插电混动尊贵版,大众,https://www.dongchedi.com/usedcar/18204404,襄阳,2021年 , 5.10万公里,0,26.58万,11.48万,途观L PHEV 2020款 430PHEV 插电混动尊贵版,襄阳,2021年2月,自动,26.58万,上汽大众,中型SUV,插电式混合动力,1.4T 150马力 L4 插电式混动,52,,6挡双离合,4720x1839x1673,200,6365.0元,1395,插电式混动 115马力,85
腾势N7 2024款 630 四驱智驾Ultra版,腾势,https://www.dongchedi.com/usedcar/17332559,石家庄,2023年 , 0.94万公里,1,32.98万,16.98万,腾势N7 2024款 630 四驱智驾Ultra版,石家庄,2023年12月,自动,32.98万,腾势汽车,中型SUV,纯电动,纯电动 530马力,630,630,390(530Ps),670,4860x1935x1602,16.6,前交流/异步后永磁/同步,磷酸铁锂电池,比亚迪
荣威Ei5 2019款 智联至尊版,荣威,https://www.dongchedi.com/usedcar/17074861,苏州,2019年 , 7.01万公里,0,15.88万,4.91万,荣威Ei5 2019款 智联至尊版,苏州,2019年6月,自动,15.88万,上汽集团,紧凑型车,纯电动,纯电动 116马力,420,快充0.67小时 慢充8.5小时,电动车单速变速箱,4544x1818x1536,150,957.0元,永磁/同步,三元锂电池,52.5
五菱宏光MINIEV 2020款 悦享款 磷酸铁锂,五菱汽车,https://www.dongchedi.com/usedcar/16752177,南京,2021年 , 3.52万公里,0,3.88万,1.68万,五菱宏光MINIEV 2020款 悦享款 磷酸铁锂,南京,2021年7月,自动,3.88万,上汽通用五菱,微型车,纯电动,纯电动 27马力,170,慢充9小时,电动车单速变速箱,2917x1493x1621,100,1902.0元,永磁/同步,磷酸铁锂电池,13.9
零跑C11 2021款 性能版,零跑汽车,https://www.dongchedi.com/usedcar/17685326,佛山,2022年 , 5.84万公里,0,23.58万,10.28万,零跑C11 2021款 性能版,佛山,2022年9月,自动,23.58万,零跑汽车,中型SUV,纯电动,纯电动 544马力,550,550,720,电动车单速变速箱,5门5座SUV,2.1,永磁/同步,三元锂电池,8年或15万公里
岚图追光 EV 2023款 580km 标准续航版,岚图,https://www.dongchedi.com/usedcar/17482722,南宁,2023年 , 0.80万公里,0,32.29万,15.38万,岚图追光 EV 2023款 580km 标准续航版,南宁,2023年6月,自动,32.29万,岚图汽车,中大型车,纯电动,纯电动 510马力,580,580,730,电动车单速变速箱,4门5座三厢车,1.76,永磁/同步,三元锂电池,孚能科技
红旗E-QM5 2023款 620KM PLUS版,红旗,https://www.dongchedi.com/usedcar/18416759,沧州,2023年 , 0.71万公里,0,20.78万,9.96万,红旗E-QM5 2023款 620KM PLUS版,沧州,2023年9月,自动,20.78万,一汽红旗,中型车,纯电动,纯电动 190马力,605,605,140(190Ps),320,5040x1910x1569,13.2,永磁/同步,三元锂电池,8年或15万公里
宝马i3 2023款 eDrive 40 L 曜夜运动套装,宝马,https://www.dongchedi.com/usedcar/18450922,西安,2023年 , 2.90万公里,0,41.39万,16.58万,宝马i3 2023款 eDrive 40 L 曜夜运动套装,西安,2023年6月,自动,41.39万,华晨宝马,中型车,纯电动,纯电动 340马力,592,592,430,电动车单速变速箱,4门5座三厢车,1.59,励磁/同步,三元锂电池,8年或16万公里
ID.4 X 2021款 Pure 纯净版,大众,https://www.dongchedi.com/usedcar/18318041,南京,2021年 , 4.10万公里,0,19.99万,8.83万,ID.4 X 2021款 Pure 纯净版,南京,2021年7月,自动,19.9888万,上汽大众,紧凑型SUV,纯电动,纯电动 170马力,402,快充0.67小时 慢充8.5小时,电动车单速变速箱,4612x1852x1640,160,3376.0元,永磁/同步,三元锂电池,8年或16万公里
欧拉好猫 2021款 400km标准续航 雅典娜版 磷酸铁锂电池,欧拉,https://www.dongchedi.com/usedcar/16585725,北京,2021年 , 2.37万公里,0,12.39万,5.98万,欧拉好猫 2021款 400km标准续航 雅典娜版 磷酸铁锂电池,北京,2021年7月,自动,12.39万,长城汽车,小型车,纯电动,纯电动 143马力,401,快充0.5小时 慢充8小时,电动车单速变速箱,4235x1825x1596,150,1564.0元,永磁/同步,磷酸铁锂电池,47.8
CLEVER 2022款 311km 元气啵啵版,荣威,https://www.dongchedi.com/usedcar/18419945,东莞,2022年 , 2.74万公里,0,6.80万,3.58万,CLEVER 2022款 311km 元气啵啵版,东莞,2022年12月,自动,6.7999万,上汽集团,微型车,纯电动,纯电动 45马力,311,311,100,电动车单速变速箱,3门4座两厢车,9.9,永磁/同步,磷酸铁锂电池,29
smart精灵#1 2022款 Premium,smart,https://www.dongchedi.com/usedcar/18419241,台州,2023年 , 1.86万公里,0,24.50万,13.89万,smart精灵#1 2022款 Premium,台州,2023年3月,自动,24.5万,smart,小型SUV,纯电动,纯电动 272马力,560,560,343,电动车单速变速箱,5门5座SUV,1.47,永磁/同步,三元锂电池,8年或15万公里
红旗E-HS9 2022款 690km 旗享版 六座,红旗,https://www.dongchedi.com/usedcar/18315884,合肥,2023年 , 1.81万公里,1,61.98万,27.51万,红旗E-HS9 2022款 690km 旗享版 六座,合肥,2023年6月,自动,61.98万,一汽红旗,大型SUV,纯电动,纯电动 435马力,690,,电动车单速变速箱,5209x2010x1731,200,不限年限/里程(责任免除条款以官方为准),永磁/同步,三元锂电池,8年或16万公里
小鹏G3 2022款 G3i 520N,小鹏汽车,https://www.dongchedi.com/usedcar/18063148,北京,2022年 , 4.71万公里,1,20.19万,8.95万,小鹏G3 2022款 G3i 520N,北京,2022年1月,自动,20.19万,小鹏汽车,紧凑型SUV,纯电动,纯电动 197马力,520,快充0.58小时 慢充5.5小时,电动车单速变速箱,4495x1820x1610,170,4年或10万公里,永磁/同步,三元锂电池,8年或15万公里
红旗E-HS9 2022款 690km 旗享版 六座,红旗,https://www.dongchedi.com/usedcar/18194430,武汉,2023年 , 1.27万公里,1,61.98万,27.78万,红旗E-HS9 2022款 690km 旗享版 六座,武汉,2023年6月,自动,61.98万,一汽红旗,大型SUV,纯电动,纯电动 435马力,690,,电动车单速变速箱,5209x2010x1731,200,不限年限/里程(责任免除条款以官方为准),永磁/同步,三元锂电池,8年或16万公里
红旗E-HS9 2022款 690km 旗享版 六座,红旗,https://www.dongchedi.com/usedcar/18191866,武汉,2023年 , 1.39万公里,1,61.98万,27.78万,红旗E-HS9 2022款 690km 旗享版 六座,武汉,2023年6月,自动,61.98万,一汽红旗,大型SUV,纯电动,纯电动 435马力,690,,电动车单速变速箱,5209x2010x1731,200,不限年限/里程(责任免除条款以官方为准),永磁/同步,三元锂电池,8年或16万公里
汉EV 2020款 超长续航版尊贵型,比亚迪,https://www.dongchedi.com/usedcar/16973347,石家庄,2022年 , 5.62万公里,2,26.08万,11.68万,汉EV 2020款 超长续航版尊贵型,石家庄,2022年1月,自动,26.08万,比亚迪,中大型车,纯电动,纯电动 222马力,605,快充0.42小时,电动车单速变速箱,4980x1910x1495,185,2394.0元,永磁/同步,磷酸铁锂电池,比亚迪
海豚 2021款 自由版,比亚迪,https://www.dongchedi.com/usedcar/17346943,深圳,2023年 , 1.27万公里,0,11.28万,6.46万,海豚 2021款 自由版,深圳,2023年1月,自动,11.28万,比亚迪,小型车,纯电动,纯电动 95马力,405,快充0.5小时 慢充6.41小时,电动车单速变速箱,4125x1770x1570,150,1.2,永磁/同步,磷酸铁锂电池,比亚迪
