标题,品牌,详情链接,城市,购买年份,里程,过户次数,原价,售价
凯迪拉克ATS-L 2017款 28T 技术型,凯迪拉克,https://www.dongchedi.com/usedcar/18146730,广州,2018年 , 7.80万公里,0,27.38万,7.78万
君威 2015款 1.6T 精英技术型,别克,https://www.dongchedi.com/usedcar/18109422,深圳,2016年 , 8.13万公里,0,20.99万,3.40万
宝马X1 2016款 sDrive18Li 豪华型,宝马,https://www.dongchedi.com/usedcar/14738213,佛山,2017年 , 9.80万公里,0,31.90万,6.49万
胜达 2013款 2.4L 自动两驱舒适型,现代,https://www.dongchedi.com/usedcar/18452688,成都,2013年 , 10.20万公里,0,22.78万,3.78万
君越 2014款 2.0T SIDI 精英技术型,别克,https://www.dongchedi.com/usedcar/18426524,深圳,2016年 , 11.80万公里,0,26.99万,4.50万
蒙迪欧 2017款 EcoBoost 245 旗舰型,福特,https://www.dongchedi.com/usedcar/18420337,常州,2019年 , 5.48万公里,2,27.98万,9.28万
索纳塔八 2013款 2.0L 自动领先版,现代,https://www.dongchedi.com/usedcar/18232324,北京,2013年 , 9.84万公里,0,17.99万,2.98万
福睿斯 2015款 1.5L 自动时尚型,福特,https://www.dongchedi.com/usedcar/18169711,郑州,2016年 , 5.18万公里,0,11.98万,2.98万
捷豹XFL 2020款 2.0T P200 两驱赛旗版,捷豹,https://www.dongchedi.com/usedcar/18345296,长春,2021年 , 5.36万公里,0,42.08万,15.76万
奥迪Q3 2013款 35 TFSI 进取型,奥迪,https://www.dongchedi.com/usedcar/18317205,北京,2014年 , 7.86万公里,1,28.50万,5.98万
捷豹XEL 2019款 2.0T 200PS 尊享版,捷豹,https://www.dongchedi.com/usedcar/18263613,广州,2018年 , 5.88万公里,1,33.78万,9.88万
英朗 2021款 改款 典范 1.5L 自动精英型,别克,https://www.dongchedi.com/usedcar/17938213,中山,2022年 , 3.33万公里,1,12.59万,5.78万
英菲尼迪QX55 2022款 2.0T 四驱耀动版,英菲尼迪,https://www.dongchedi.com/usedcar/17277996,青岛,2024年 , 0.83万公里,0,42.88万,19.68万
速派 2013款 1.8TSI 自动雅仕版,斯柯达,https://www.dongchedi.com/usedcar/16975915,呼和浩特,2014年 , 10.21万公里,0,21.66万,3.68万
奔驰GLA 2018款 GLA 200 动感型,奔驰,https://www.dongchedi.com/usedcar/18462832,南京,2018年 , 7.10万公里,0,26.98万,8.00万
宝马X1 2019款 sDrive18Li 尊享型,宝马,https://www.dongchedi.com/usedcar/18382151,佛山,2019年 , 3.10万公里,0,29.68万,9.99万
奇骏 2019款  2.5L CVT智联至尊版 4WD,日产,https://www.dongchedi.com/usedcar/18236173,北京,2018年 , 9.40万公里,1,27.13万,8.00万
福克斯 2020款 三厢 EcoBoost 180 自动锋潮型,福特,https://www.dongchedi.com/usedcar/18148390,深圳,2020年 , 7.80万公里,0,13.68万,5.16万
宝马5系 2014款 525Li 领先型,宝马,https://www.dongchedi.com/usedcar/18124948,深圳,2014年 , 13.82万公里,0,46.66万,7.98万
哈弗H6 Coupe 2016款 蓝标 1.5T 自动两驱都市型,哈弗,https://www.dongchedi.com/usedcar/17359713,苏州,2016年 , 7.46万公里,0,11.90万,3.02万
奥迪A4L 2013款 35 TFSI 自动舒适型,奥迪,https://www.dongchedi.com/usedcar/18465761,淄博,2014年 , 13.80万公里,0,32.99万,5.80万
冒险家 2021款 2.0T 两驱尊享版,林肯,https://www.dongchedi.com/usedcar/18444485,襄阳,2021年 , 3.10万公里,0,25.98万,11.00万
昂科威 2014款 28T 四驱豪华型,别克,https://www.dongchedi.com/usedcar/18432979,襄阳,2015年 , 7.11万公里,2,29.99万,6.48万
魏牌 VV6 2021款 2.0T 两驱智行+,魏牌,https://www.dongchedi.com/usedcar/18420293,东莞,2020年 , 5.90万公里,0,16.80万,6.38万
英朗 2021款 典范 1.5L 自动精英型,别克,https://www.dongchedi.com/usedcar/18408064,南京,2020年 , 1.13万公里,0,12.59万,5.32万
君威 2015款 1.6T 领先技术型,别克,https://www.dongchedi.com/usedcar/18363082,湖州,2016年 , 10.33万公里,0,18.99万,3.32万
蒙迪欧 2013款 2.0L GTDi200豪华型,福特,https://www.dongchedi.com/usedcar/18148361,深圳,2014年 , 12万公里,0,22.28万,3.90万
迈锐宝 2017款 1.5T 自动舒适版,雪佛兰,https://www.dongchedi.com/usedcar/11763550,淄博,2017年 , 6万公里,1,16.49万,4.25万
宝马5系 2013款 525Li 豪华型,宝马,https://www.dongchedi.com/usedcar/18439877,广州,2013年 , 22万公里,0,49.46万,6.68万
宝马X3(进口) 2014款 xDrive20i X设计套装,宝马,https://www.dongchedi.com/usedcar/18434085,沈阳,2017年 , 5.88万公里,0,50.20万,12.98万
宝骏RC-5 2020款 1.5T CVT智耀豪华型,宝骏,https://www.dongchedi.com/usedcar/18376827,淄博,2020年 , 4.98万公里,0,9.48万,3.63万
指南者 2017款 200T 自动家享版,Jeep,https://www.dongchedi.com/usedcar/18334283,长春,2017年 , 6.88万公里,2,17.98万,4.68万
奥迪A3 2018款 30周年年型 Limousine 35 TFSI 运动型,奥迪,https://www.dongchedi.com/usedcar/18246793,东莞,2018年 , 2.50万公里,0,23.97万,8.18万
宝马1系 2018款 改款 118i 运动型,宝马,https://www.dongchedi.com/usedcar/17945653,宁波,2019年 , 5.58万公里,0,22.58万,7.71万
自由侠 2017款 180T 自动劲能版,Jeep,https://www.dongchedi.com/usedcar/17935021,烟台,2017年 , 5.78万公里,0,15.88万,4.12万
途观 2016款 300TSI 自动两驱豪华版,大众,https://www.dongchedi.com/usedcar/17003878,洛阳,2016年 , 6万公里,0,25.98万,6.76万
奥迪A5 2016款 Sportback 45 TFSI,奥迪,https://www.dongchedi.com/usedcar/14126573,上海,2016年 , 7.60万公里,1,45.88万,9.98万
博越 2016款 1.8TD 自动智尊型,吉利汽车,https://www.dongchedi.com/usedcar/18439303,杭州,2017年 , 8.90万公里,0,14.88万,3.28万
奥迪TT 2011款 TT Coupe 2.0TFSI,奥迪,https://www.dongchedi.com/usedcar/18410560,西安,2012年 , 9.80万公里,1,51.90万,7.18万
途胜 2015款 1.6T 双离合两驱智能型,现代,https://www.dongchedi.com/usedcar/18383444,常州,2018年 , 4.11万公里,0,17.99万,6.22万
英菲尼迪QX50(进口) 2013款 2.5L 两驱优雅版,英菲尼迪,https://www.dongchedi.com/usedcar/18368651,北京,2015年 , 12.50万公里,1,41.88万,5.80万
昂科拉 2018款 18T 自动两驱都市精英型,别克,https://www.dongchedi.com/usedcar/18353953,中山,2019年 , 4.50万公里,0,16.99万,5.88万
英朗 2021款 改款 典范 1.5L 自动精英型,别克,https://www.dongchedi.com/usedcar/18332670,武汉,2020年 , 3.96万公里,0,12.59万,4.88万
君越 2013款 2.0T SIDI 精英技术型,别克,https://www.dongchedi.com/usedcar/18133811,东莞,2015年 , 10.30万公里,0,27.99万,3.88万
发现神行 2019款 240PS SE版 国V,路虎,https://www.dongchedi.com/usedcar/13883658,济南,2019年 , 6.98万公里,0,39.48万,11.98万
凯迪拉克XT5 2016款 28T 四驱豪华型,凯迪拉克,https://www.dongchedi.com/usedcar/18475325,佛山,2017年 , 10万公里,1,41.99万,9.38万
威朗 2022款 Pro 532T 乐行版,别克,https://www.dongchedi.com/usedcar/18353974,沈阳,2022年 , 1.94万公里,0,12.99万,6.68万
科雷嘉 2017款 2.0L 两驱豪华版,雷诺,https://www.dongchedi.com/usedcar/18336840,襄阳,2018年 , 2.51万公里,1,18.48万,4.88万
昂科威 2018款 28T 四驱豪华型,别克,https://www.dongchedi.com/usedcar/18093393,广州,2018年 , 3.42万公里,1,28.99万,8.88万
福睿斯 2017款 改款 1.5L 手动舒适型,福特,https://www.dongchedi.com/usedcar/17227727,沈阳,2017年 , 3.73万公里,0,9.68万,2.58万
发现神行 2018款 200PS PURE版,路虎,https://www.dongchedi.com/usedcar/14692458,呼和浩特,2018年 , 7.17万公里,0,35.58万,10.88万
MINI COUNTRYMAN 2011款 1.6L ONE,MINI,https://www.dongchedi.com/usedcar/18480770,西安,2015年 , 5.50万公里,1,25.90万,5.88万
荣威RX8 2019款 30T 智联网四驱超群旗舰版,荣威,https://www.dongchedi.com/usedcar/18408847,洛阳,2020年 , 2.39万公里,0,20.88万,9.03万
宝马X1 2016款 sDrive18Li 尊享型,宝马,https://www.dongchedi.com/usedcar/18327920,常州,2016年 , 8.15万公里,2,30.60万,6.98万
奥迪Q5L 2020款 40 TFSI 荣享时尚型,奥迪,https://www.dongchedi.com/usedcar/18278169,西安,2020年 , 3.75万公里,0,41.58万,17.98万
Cayenne 2014款 Cayenne Platinum Edition 3.0T,保时捷,https://www.dongchedi.com/usedcar/18139033,武汉,2014年 , 17万公里,0,105.80万,15.30万
Cayenne 2012款 Cayenne GTS 4.8L,保时捷,https://www.dongchedi.com/usedcar/16305496,成都,2013年 , 12.80万公里,0,176.30万,18.38万
雪铁龙C4L 2014款 1.6THP 智驱版 自动劲智型,雪铁龙,https://www.dongchedi.com/usedcar/18315585,北京,2015年 , 10.18万公里,0,16.99万,2.50万
英朗 2021款 典范 1.5L 自动精英型,别克,https://www.dongchedi.com/usedcar/18310846,南宁,2020年 , 2.71万公里,0,12.59万,4.98万
东风风度MX6 2015款 2.0L CVT两驱全能版,东风风度,https://www.dongchedi.com/usedcar/16965527,东莞,2015年 , 8.64万公里,0,13.28万,3.06万
宝马X1 2019款 sDrive18Li 尊享型,宝马,https://www.dongchedi.com/usedcar/18451011,苏州,2019年 , 9.50万公里,0,29.68万,9.38万
奔驰GLA AMG 2015款 AMG GLA 45 4MATIC,奔驰,https://www.dongchedi.com/usedcar/17080567,北京,2015年 , 10.15万公里,2,57.80万,11.00万
传祺GS4 2017款 235T 自动两驱豪华智联版,广汽传祺,https://www.dongchedi.com/usedcar/18314605,长沙,2017年 , 5.76万公里,1,14.38万,3.98万
林肯MKC 2017款 2.0T 四驱尊雅版,林肯,https://www.dongchedi.com/usedcar/18168942,长春,2017年 , 7.95万公里,2,37.38万,7.28万
宝马1系 2021款 125i M运动曜夜版,宝马,https://www.dongchedi.com/usedcar/18002274,苏州,2020年 , 3.66万公里,1,24.68万,10.90万
奔驰V级 2017款 V 260 尊贵版,奔驰,https://www.dongchedi.com/usedcar/17136690,北京,2018年 , 9.10万公里,0,59.30万,18.88万
奔驰R级 2017款 R 320 4MATIC 商务型臻藏版,奔驰,https://www.dongchedi.com/usedcar/18470023,青岛,2018年 , 12万公里,0,54.88万,12.98万
英菲尼迪Q50L 2018款 2.0T 舒适版 国VI,英菲尼迪,https://www.dongchedi.com/usedcar/18454326,惠州,2020年 , 7.20万公里,0,26.48万,10.68万
捷豹XFL 2018款 XFL 2.0T 200PS 精英版,捷豹,https://www.dongchedi.com/usedcar/18441793,长沙,2018年 , 9.10万公里,0,41.58万,9.88万
Yeti 2016款 1.4TSI DSG前行版,斯柯达,https://www.dongchedi.com/usedcar/18376223,常州,2016年 , 10.80万公里,1,14.98万,3.58万
楼兰 2019款 2.5L XL 两驱智联豪华版 国VI,日产,https://www.dongchedi.com/usedcar/18362937,南通,2020年 , 3.82万公里,0,27.13万,10.91万
宝马5系 2014款 525Li 豪华设计套装,宝马,https://www.dongchedi.com/usedcar/18358899,石家庄,2016年 , 12.70万公里,0,49.96万,11.88万
凯迪拉克XT4 2018款 28T 两驱豪华运动型,凯迪拉克,https://www.dongchedi.com/usedcar/18037767,深圳,2019年 , 3.37万公里,0,28.47万,10.30万
宝马3系 2018款 320Li 领先型M运动套装,宝马,https://www.dongchedi.com/usedcar/17134201,上海,2018年 , 5.50万公里,0,34.98万,11.22万
捷豹E-PACE 2018款 P200 S 国VI,捷豹,https://www.dongchedi.com/usedcar/16953329,石家庄,2020年 , 4.72万公里,2,31.58万,11.38万
凯迪拉克ATS-L 2017款 28T 技术型,凯迪拉克,https://www.dongchedi.com/usedcar/18457637,重庆,2018年 , 8.51万公里,0,27.38万,8.85万
福睿斯 2015款 1.5L 自动时尚型,福特,https://www.dongchedi.com/usedcar/18455439,东莞,2016年 , 11万公里,0,11.98万,2.39万
凯迪拉克XT5 2021款 28T 豪华型,凯迪拉克,https://www.dongchedi.com/usedcar/18444565,襄阳,2021年 , 5.19万公里,1,34.97万,14.20万
宝骏RM-5 2019款 1.5T CVT 24小时在线尊贵型 6座,宝骏,https://www.dongchedi.com/usedcar/18422566,烟台,2020年 , 4.90万公里,0,11.98万,4.38万
捷豹XFL 2022款 2.0T P200 两驱精英豪华版,捷豹,https://www.dongchedi.com/usedcar/18406288,温州,2023年 , 2.10万公里,0,39.98万,19.48万
别克GL6 2019款 18T 6座互联豪华型 国V,别克,https://www.dongchedi.com/usedcar/18343768,石家庄,2018年 , 5.49万公里,1,15.59万,5.05万
朗逸 2019款 280TSI DSG舒适版 国VI,大众,https://www.dongchedi.com/usedcar/18252465,深圳,2020年 , 3.80万公里,0,14.69万,6.56万
捷豹XFL 2018款 XFL 2.0T 250PS 尊享版,捷豹,https://www.dongchedi.com/usedcar/18102963,青岛,2018年 , 15.40万公里,2,49.48万,9.89万
宝马X1 2018款 sDrive18Li 时尚型,宝马,https://www.dongchedi.com/usedcar/18081154,太原,2018年 , 4.37万公里,1,28.38万,9.18万
英菲尼迪Q50L 2021款 2.0T 舒适版,英菲尼迪,https://www.dongchedi.com/usedcar/18065767,深圳,2021年 , 5.58万公里,0,26.48万,10.76万
指南者 2017款 200T 自动家享版,Jeep,https://www.dongchedi.com/usedcar/17905152,石家庄,2017年 , 7.25万公里,1,17.98万,4.32万
奔驰GLE轿跑 2017款 GLE 320 4MATIC 轿跑SUV,奔驰,https://www.dongchedi.com/usedcar/16972510,武汉,2017年 , 8.90万公里,1,86.80万,20.98万
宝马5系 2014款 525Li 豪华设计套装,宝马,https://www.dongchedi.com/usedcar/18187106,东莞,2014年 , 14万公里,0,49.96万,8.08万
福睿斯 2017款 幸福版 1.5L 自动时尚型,福特,https://www.dongchedi.com/usedcar/17856164,郑州,2018年 , 3.79万公里,1,12.23万,3.98万
发现神行 2018款 240PS PURE版,路虎,https://www.dongchedi.com/usedcar/17215903,郑州,2018年 , 7.69万公里,2,37.48万,10.67万
发现 2016款 3.0 V6 SC HSE,路虎,https://www.dongchedi.com/usedcar/17053423,青岛,2017年 , 15万公里,3,92.80万,22.80万
昕锐 2020款 1.5L 自动标准版,斯柯达,https://www.dongchedi.com/usedcar/16338266,济南,2020年 , 3.08万公里,0,8.79万,3.98万
魏牌 VV7 2017款 2.0T 旗舰型,魏牌,https://www.dongchedi.com/usedcar/18418215,福州,2018年 , 9万公里,0,18.88万,4.70万
哈弗H6 2015款 运动版 1.5T 自动两驱豪华型,哈弗,https://www.dongchedi.com/usedcar/18415988,北京,2016年 , 7.47万公里,1,13.68万,3.98万
昂科拉GX 2020款 20T CVT两驱豪华型,别克,https://www.dongchedi.com/usedcar/18353536,广州,2021年 , 2.60万公里,2,16.59万,6.88万
科鲁泽 2022款 320 自动悦享天窗版,雪佛兰,https://www.dongchedi.com/usedcar/18306609,南昌,2022年 , 1.59万公里,0,11.49万,5.69万
奥迪Q5 2015款 40 TFSI 技术型,奥迪,https://www.dongchedi.com/usedcar/18016735,青岛,2015年 , 8.79万公里,0,43.16万,8.98万
发现神行 2017款 2.0T PURE,路虎,https://www.dongchedi.com/usedcar/17850798,佛山,2017年 , 13万公里,0,36.80万,7.68万
林肯MKZ 2019款 2.0T 尊享版 国VI,林肯,https://www.dongchedi.com/usedcar/18443537,北京,2019年 , 3.81万公里,0,27.58万,10.36万
Polo 2014款 1.6L 自动舒适版,大众,https://www.dongchedi.com/usedcar/18426306,襄阳,2015年 , 8.15万公里,2,10.39万,2.62万
探歌 2020款 280TSI DSG两驱豪华型,大众,https://www.dongchedi.com/usedcar/18409774,深圳,2021年 , 2万公里,0,18.58万,8.50万
迈锐宝XL 2020款 Redline 550T 自动锐联版,雪佛兰,https://www.dongchedi.com/usedcar/18403631,绍兴,2020年 , 7.51万公里,0,20.49万,7.68万
宝马X3 2018款 xDrive30i 尊享型 M运动套装 国VI,宝马,https://www.dongchedi.com/usedcar/18384111,广州,2019年 , 6.20万公里,1,56.58万,18.88万
威朗 2023款 Pro 533T 乐享版,别克,https://www.dongchedi.com/usedcar/18345328,东莞,2023年 , 2.10万公里,0,13.99万,6.98万
宝马X5(进口) 2014款 xDrive35i 典雅型,宝马,https://www.dongchedi.com/usedcar/18308314,深圳,2015年 , 10万公里,0,83.80万,17.68万
奥迪A4L 2016款 35 TFSI 典藏版 自动标准型,奥迪,https://www.dongchedi.com/usedcar/18106476,北京,2015年 , 8.05万公里,0,31.28万,7.88万
君威 2022款 552T 智享型,别克,https://www.dongchedi.com/usedcar/17498410,济南,2023年 , 2.41万公里,0,19.68万,9.81万
宝马5系 2014款 525Li 领先型,宝马,https://www.dongchedi.com/usedcar/18418266,福州,2014年 , 11万公里,1,46.66万,7.98万
魏牌 VV7 2017款 2.0T 旗舰型,魏牌,https://www.dongchedi.com/usedcar/18415828,广州,2018年 , 6.74万公里,1,18.88万,6.38万
宝马1系 2020款 120i M运动套装,宝马,https://www.dongchedi.com/usedcar/18362476,赣州,2020年 , 4万公里,0,22.38万,8.45万
缤瑞 2018款 14T CVT缤致版,吉利汽车,https://www.dongchedi.com/usedcar/18266916,东莞,2019年 , 4.01万公里,0,9.68万,3.66万
奔驰GLA 2016款 GLA 200 动感型,奔驰,https://www.dongchedi.com/usedcar/18181318,深圳,2017年 , 10.38万公里,0,26.98万,6.88万
宝来 2018款 1.5L 自动舒适型,大众,https://www.dongchedi.com/usedcar/18171025,青岛,2018年 , 5.53万公里,0,13.18万,4.98万
奔腾T99 2020款 20TD 自动运动尊贵型,奔腾,https://www.dongchedi.com/usedcar/18152884,沈阳,2021年 , 8.09万公里,3,17.69万,5.98万
凯迪拉克XT4 2018款 28T 两驱领先型,凯迪拉克,https://www.dongchedi.com/usedcar/17845963,青岛,2019年 , 7.31万公里,1,28.97万,9.78万
标致4008 2019款 改款 360THP 尝先版,标致,https://www.dongchedi.com/usedcar/17052434,苏州,2020年 , 8.20万公里,0,18.97万,6.38万
宝马3系 2016款 316Li 时尚型,宝马,https://www.dongchedi.com/usedcar/18389537,沈阳,2016年 , 7.21万公里,0,30.98万,7.98万
缤瑞 2019款 200T DCT缤致版,吉利汽车,https://www.dongchedi.com/usedcar/18377584,深圳,2020年 , 3.50万公里,0,9.98万,3.80万
迈腾 2015款 改款 2.0TSI 豪华型,大众,https://www.dongchedi.com/usedcar/18358673,南京,2015年 , 8.40万公里,0,24.78万,5.36万
奔驰C级 2013款 C 180 CGI 经典型,奔驰,https://www.dongchedi.com/usedcar/18173368,佛山,2013年 , 12万公里,0,30.80万,5.38万
宝马1系 2018款 改款 120i 设计套装型,宝马,https://www.dongchedi.com/usedcar/18097271,南宁,2019年 , 8.78万公里,1,28.78万,8.58万
昂科威 2021款 532T 两驱领先型,别克,https://www.dongchedi.com/usedcar/15088280,临沂,2021年 , 3.24万公里,0,18.99万,8.78万
宝马5系 2014款 525Li 领先型,宝马,https://www.dongchedi.com/usedcar/18392288,石家庄,2014年 , 15.94万公里,2,46.66万,8.25万
福克斯 2018款 经典版 两厢 1.6L 自动风尚型智行版,福特,https://www.dongchedi.com/usedcar/18377729,南通,2018年 , 7.40万公里,0,12.28万,4.19万
君威 2023款 552T 智享型,别克,https://www.dongchedi.com/usedcar/18169045,东莞,2023年 , 1.50万公里,0,19.68万,9.98万
发现神行 2018款 240PS SE版,路虎,https://www.dongchedi.com/usedcar/17884897,杭州,2018年 , 6.31万公里,1,40.48万,10.56万
领界 2020款 领界S EcoBoost 145 CVT铂领型,福特,https://www.dongchedi.com/usedcar/18480353,长沙,2020年 , 4.60万公里,1,13.28万,5.68万
凯迪拉克XT4 2021款 28T 两驱豪华型,凯迪拉克,https://www.dongchedi.com/usedcar/18440092,郑州,2021年 , 5.50万公里,0,27.97万,11.99万
帕萨特 2013款 2.0TSI DSG御尊版,大众,https://www.dongchedi.com/usedcar/18414728,北京,2013年 , 7.47万公里,0,25.48万,4.58万
MINI 2014款 2.0T COOPER S Fun,MINI,https://www.dongchedi.com/usedcar/18385764,深圳,2015年 , 7.50万公里,0,30.50万,7.98万
红旗H5经典 2022款 经典款 1.5T DCT旗韵版,红旗,https://www.dongchedi.com/usedcar/18327434,哈尔滨,2022年 , 2.63万公里,0,14.88万,7.58万
宝马4系 2016款 430i Gran Coupe M运动型,宝马,https://www.dongchedi.com/usedcar/18315863,广州,2016年 , 13.30万公里,0,58.50万,12.98万
宝马3系GT 2019款 320i M运动套装,宝马,https://www.dongchedi.com/usedcar/18308823,杭州,2020年 , 3.80万公里,0,35.98万,15.38万
Tiguan 2018款 330TSI 四驱创睿型,大众,https://www.dongchedi.com/usedcar/18299329,福州,2019年 , 5.30万公里,0,29.88万,10.30万
奥迪Q3 2023款 40 TFSI 时尚动感型,奥迪,https://www.dongchedi.com/usedcar/18211859,襄阳,2023年 , 1.80万公里,0,30.58万,16.89万
凯迪拉克XT5 2020款 改款 28T 豪华型,凯迪拉克,https://www.dongchedi.com/usedcar/18141687,上海,2019年 , 4.70万公里,0,34.97万,13.52万
